Designator,Mid X,Mid Y,Rotation,Layer
ACT1,120.085,-71.45,0.0,top
AREF_C1,126.62,-59.6,0.0,top
CALC_PWR_C1,132.2,-62.825,90.0,top
CALC_PWR_C2,135.1,-61.05,0.0,top
CALC_PWR_D1,116.085,-71.45,0.0,top
CALC_PWR_R1,134.52,-65.85,0.0,top
CALC_PWR_R2,115.2,-69.53,270.0,top
CON1,126.0,-87.0,0.0,top
J1,115.305,-62.6,270.0,top
LED_R1,116.4,-69.56,270.0,top
LED_R2,120.8,-69.96,270.0,top
MUX_C1,116.02,-85.5,180.0,top
MUX_C2,131.25,-73.48,270.0,top
OSC_C1,129.87,-69.35,180.0,top
OSC_C2,124.1,-71.83,270.0,top
OSC_R1,126.84,-69.35,0.0,top
PWR_C1,118.575,-69.85,0.0,top
PWR_C2,118.58,-68.6,0.0,top
PWR_R1,120.6,-60.59,90.0,top
PWR_R2,120.6,-65.09,270.0,top
RST_PU1,123.0,-69.01,90.0,top
SCREW1_2,137.5,-59.0,0.0,top
SCREW1,137.5,-83.5,0.0,top
STALL1,118.085,-71.45,180.0,top
TERM_R1,121.11,-63.6,0.0,top
TERM_R2,121.11,-62.6,180.0,top
U1,127.35,-64.35,90.0,top
U2,135.1375,-63.6,180.0,top
U3,118.125,-79.735,180.0,top
U4,127.225,-79.655,0.0,top
UCAP_C1,120.6,-67.12,270.0,top
VCC_C1,132.0,-67.23,270.0,top
VCC_C2,124.1,-69.87,270.0,top
VCC_C3,121.6,-65.13,270.0,top
Y1,127.75,-72.1,0.0,top
