Designator,Mid X,Mid Y,Rotation,Layer
CALC+2,135.5,-63.5,0.0,bottom
CALC-2,72.75,-63.5,0.0,bottom
ISP_HEADER1,104.11,-42.0,0.0,top
J1,71.5,-81.25,0.0,bottom
J10,81.25,-107.25,0.0,bottom
J11,83.5,-126.25,0.0,bottom
J12,82.75,-113.5,0.0,bottom
J13,81.25,-90.25,0.0,bottom
J14,84.75,-81.25,0.0,bottom
J15,91.0,-80.75,0.0,bottom
J16,92.75,-72.25,0.0,bottom
J17,94.5,-140.5,0.0,bottom
J18,95.75,-90.0,0.0,bottom
J19,101.0,-80.25,0.0,bottom
J2,70.5,-73.5,0.0,bottom
J20,104.25,-73.0,0.0,bottom
J21,107.5,-138.5,0.0,bottom
J22,102.25,-89.75,0.0,bottom
J23,128.25,-54.25,0.0,bottom
J24,132.5,-47.5,0.0,bottom
J25,128.0,-80.5,0.0,bottom
J26,136.75,-74.0,0.0,bottom
J27,135.0,-80.75,0.0,bottom
J28,108.5,-125.5,0.0,bottom
J29,122.75,-125.75,0.0,bottom
J3,70.5,-70.75,0.0,bottom
J30,132.25,-122.5,0.0,bottom
J31,124.75,-119.0,0.0,bottom
J4,74.25,-47.5,0.0,bottom
J5,79.75,-121.0,0.0,bottom
J6,78.25,-98.25,0.0,bottom
J7,78.5,-54.5,0.0,bottom
J8,80.818454,-125.25,0.0,bottom
J9,80.75,-77.75,0.0,bottom
P1,84.0,-120.0,180.0,top
SCREW1,98.2,-52.5,0.0,top
SCREW2,70.0,-92.3,0.0,top
